major_category	trait_category	trait	n_qtl_rows	chrom_values	example_qtl_names	example_references	evidence_tier	notes
Morphological trait	Culm/leaf	tiller-bud dormancy	1	2	T2-2tiller	Miyamoto, N., Goto, Y., Matsui, M., Ukai, Y., Morita, M., and Nemoto, K. (2004). Quantitative trait loci for phyllochron and tillering in rice. Theor Appl Genet 109, 700-706.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	tillering angle	1	9	Ta	Li, Z., Paterson, A., Pinson, S., and Stansel, J. (1999). RFLP facilitated analysis of tiller and leaf angles in rice (Oryza sativa L.). Euphytica 109, 79-84.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	total number of leaves	1	3	qTNL-3	Dong, Y., Kamiunten, H., Ogawa, T., Tsuzuki, E., Terao, H., Lin, D., and Matsuo, M. (2004). Mapping of QTLs for leaf developmental behavior in rice (Oryza sativa L.). Euphytica V138, 169-175.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	1st internode length	1	3	qIN1-3	Yamamoto, T., Taguchi-Shiobara, F., Ukai, Y., Sasaki, T., and Yano, M. (2001). Mapping Quantitative Trait Loci for Days-to-heading, and Culm, Panicle and Internode Lengths in a BC1F3 Population Using an Elite Rice Variety, Koshihikari, as the Recurrent Parent. Breeding Science 51, 63-71.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	2nd internode length	1	1	qIN2-1	Yamamoto, T., Taguchi-Shiobara, F., Ukai, Y., Sasaki, T., and Yano, M. (2001). Mapping Quantitative Trait Loci for Days-to-heading, and Culm, Panicle and Internode Lengths in a BC1F3 Population Using an Elite Rice Variety, Koshihikari, as the Recurrent Parent. Breeding Science 51, 63-71.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	3rd internode length	1	6	qIN3-6	Yamamoto, T., Taguchi-Shiobara, F., Ukai, Y., Sasaki, T., and Yano, M. (2001). Mapping Quantitative Trait Loci for Days-to-heading, and Culm, Panicle and Internode Lengths in a BC1F3 Population Using an Elite Rice Variety, Koshihikari, as the Recurrent Parent. Breeding Science 51, 63-71.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	4th internode length	1	12	qIN4-12	Yamamoto, T., Taguchi-Shiobara, F., Ukai, Y., Sasaki, T., and Yano, M. (2001). Mapping Quantitative Trait Loci for Days-to-heading, and Culm, Panicle and Internode Lengths in a BC1F3 Population Using an Elite Rice Variety, Koshihikari, as the Recurrent Parent. Breeding Science 51, 63-71.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	5th internode length	1	12	qIN5-12	Yamamoto, T., Taguchi-Shiobara, F., Ukai, Y., Sasaki, T., and Yano, M. (2001). Mapping Quantitative Trait Loci for Days-to-heading, and Culm, Panicle and Internode Lengths in a BC1F3 Population Using an Elite Rice Variety, Koshihikari, as the Recurrent Parent. Breeding Science 51, 63-71.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	6th internode length	1	6	qIN6-6	Yamamoto, T., Taguchi-Shiobara, F., Ukai, Y., Sasaki, T., and Yano, M. (2001). Mapping Quantitative Trait Loci for Days-to-heading, and Culm, Panicle and Internode Lengths in a BC1F3 Population Using an Elite Rice Variety, Koshihikari, as the Recurrent Parent. Breeding Science 51, 63-71.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	Elongated uppermost internode	1	10	eui2	Yang, S.L., Ma, H.L., Xue, Q.P., Wang, B., and Yang, R.C. (2000). Tagging of an elongated-uppermost-internode gene eui2 using microsatellite markers. Rice Genetics Newsletter 17, 14-15.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	Elongation of plant height	1	9		Ishimaru, K., Yano, M., Aoki, N., Ono, K., Hirose, T., Lin, S.Y., Monna, L., Sasaki, T., and Ohsugi, R. (2001). Toward the mapping of physiological and agronomic characters on a rice function map: QTL analysis and comparison between QTLs and expressed sequence tags. TAG Theoretical and Applied Genetics 102, 793-800.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	Length of top second internode	1	2	Sn2a	Tan, Z.B., Shen, L.S., Kuang, H.C., Lu, C.F., Chen, Y., Zhou, K.D., and Zhu, L.H. (1996). Identification of QTLs for lengths of the top internodes and other traits in rice and analysis of their genetic effects. Acta Genet Sinica 23, 439-446.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	Plant height  (maximum)	1	1		Ishimaru, K., Yano, M., Aoki, N., Ono, K., Hirose, T., Lin, S.Y., Monna, L., Sasaki, T., and Ohsugi, R. (2001). Toward the mapping of physiological and agronomic characters on a rice function map: QTL analysis and comparison between QTLs and expressed sequence tags. TAG Theoretical and Applied Genetics 102, 793-800.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	Plant height  (middle stage)	1	1		Ishimaru, K., Yano, M., Aoki, N., Ono, K., Hirose, T., Lin, S.Y., Monna, L., Sasaki, T., and Ohsugi, R. (2001). Toward the mapping of physiological and agronomic characters on a rice function map: QTL analysis and comparison between QTLs and expressed sequence tags. TAG Theoretical and Applied Genetics 102, 793-800.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	Tid1	1	11	Tid1	Sunohara, H., Kawai, T., Sato, Y., Matsuoka, M., and Kitano, H. (2004). Cloning of Twisted dwarf1 gene. Rice Genetics Newsletter 21, 88-90.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	culm length at maturity stage	1	7	qCL	Onishi, K., Horiuchi, Y., Ishigoh-Oka, N., Takagi, K., Ichikawa, N., Maruoka, M., and Sano, Y. (2007). A QTL Cluster for Plant Architecture and Its Ecological Significance in Asian Wild Rice. Breeding Science 57, 7-16.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	dwarf mutant	1	4	D11	Tanabe, S., Ashikari, M., Fujioka, S., Takatsuto, S., Yoshida, S., Yano, M., Yoshimura, A., Kitano, H., Matsuoka, M., Fujisawa, Y., Kato, H., and Iwasaki, Y. (2005). A novel cytochrome P450 is implicated in brassinosteroid biosynthesis via the characterization of a rice dwarf mutant, dwarf11, with reduced seed length. Plant Cell 17, 776-790.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	dwarf phenotype and leaves with abnormally rounded tip regions	1	1	dgl1	Komorisono, M., Ueguchi-Tanaka, M., Aichi, I., Hasegawa, Y., Ashikari, M., Kitano, H., Matsuoka, M., and Sazuka, T. (2005). Analysis of the rice mutant dwarf and gladius leaf 1. Aberrant katanin-mediated microtubule organization causes up-regulation of gibberellin biosynthetic genes independently of gibberellin signaling. Plant Physiol 138, 1982-1993.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	elongation of the uppermost internode at the heading stage	1	5	eui	Luo, A., Qian, Q., Yin, H., Liu, X., Yin, C., Lan, Y., Tang, J., Tang, Z., Cao, S., Wang, X., Xia, K., Fu, X., Luo, D., and Chu, C. (2006). EUI1, Encoding a Putative Cytochrome P450 Monooxygenase, Regulates Internode Elongation by Modulating Gibberellin Responses in Rice. Plant Cell Physiol 47.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	eui (for elongated uppermost internode),	1	5	Eui	Xu, Y.H., Zhu, Y.Y., Zhou, H.C., Li, Q., Sun, Z.X., Liu, Y.G., Lin, H.X., and He, Z.H. (2004). Identification of a 98-kb DNA segment containing the rice Eui gene controlling uppermost internode elongation, and construction of a TAC transgene sublibrary. Mol Genet Genomics 272, 149-155.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	plant height at 35DAT	1	4	qPH1-4-1	Cui, K., Peng, S., Ying, Y., Yu, S., and Xu, C. (2004). Molecular Dissection of the Relationships among Tiller Number, Plant Height and Heading Date in Rice. Plant Production Science 7, 309-318.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	plant height at maturity	1	6	qPH2-6-1	Cui, K., Peng, S., Ying, Y., Yu, S., and Xu, C. (2004). Molecular Dissection of the Relationships among Tiller Number, Plant Height and Heading Date in Rice. Plant Production Science 7, 309-318.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	semi-dwarf	1	1	GA20ox-2	Sasaki, A., Ashikari, M., Ueguchi-Tanaka, M., Itoh, H., Nishimura, A., Swapan, D., Ishiyama, K., Saito, T., Kobayashi, M., Khush, G.S., Kitano, H., and Matsuoka, M. (2002). Green revolution: A mutant gibberellin-synthesis gene in rice. Nature 416, 701-702.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower		1	3	Hg	Yu, Z.H., Kinoshita, T., Sato, S., and Tanksley, S.D. (1992). Morphological and RFLP markers are associated in rice. Rice Genetics Newsletter 9, 116-118.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	1000 Grain weight	1	7	gw7	Li, J.X., Yu, S.B., Xu, C.G., Tan, Y.F., Gao, Y.J., Li, X.H., and Zhang, Q. (2000). Analyzing quantitative trait loci for yield using a vegetatively replicated F2 population from a cross between the parents of an elite rice hybrid. TAG Theoretical and Applied Genetics 101, 248-254.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Dense panicle	1	9	Dn-1	Yu, Z.H., Kinoshita, T., Sato, S., and Tanksley, S.D. (1992). Morphological and RFLP markers are associated in rice. Rice Genetics Newsletter 9, 116-118.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Grain breadth	1	2		Redo?a, E.D., and Mackill, D.J. (1998). Quantitative trait locus analysis for rice panicle and grain characteristics. TAG Theoretical and Applied Genetics 96, 957-963.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Grain length	1	3		Redo?a, E.D., and Mackill, D.J. (1998). Quantitative trait locus analysis for rice panicle and grain characteristics. TAG Theoretical and Applied Genetics 96, 957-963.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Grain number per planicle	1	2	gn2.1	Marri, P.R., Sarla, N., Reddy, L.V., and Siddiq, E.A. (2005). Identification and mapping of yield and yield related QTLs from an Indian accession of Oryza rufipogon. BMC Genet 6, 33.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Grain number per plant	1	5	gnp5.1	Marri, P.R., Sarla, N., Reddy, L.V., and Siddiq, E.A. (2005). Identification and mapping of yield and yield related QTLs from an Indian accession of Oryza rufipogon. BMC Genet 6, 33.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Grain shape	1	3		Redo?a, E.D., and Mackill, D.J. (1998). Quantitative trait locus analysis for rice panicle and grain characteristics. TAG Theoretical and Applied Genetics 96, 957-963.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Grain weight	1	8		Redo?a, E.D., and Mackill, D.J. (1998). Quantitative trait locus analysis for rice panicle and grain characteristics. TAG Theoretical and Applied Genetics 96, 957-963.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Grains per panicle(1998)	1	1	gn1	Xing, Z., Tan, F., Hua, P., Sun, L., Xu, G., and Zhang, Q. (2002). Characterization of the main effects, epistatic effects and their environmental interactions of QTLs on the genetic basis of yield traits in rice. Theor Appl Genet 105, 248-257.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Grains/panicle(1998)	1	6	gp6	Hua, J.P., Xing, Y.Z., Xu, C.G., Sun, X.L., Yu, S.B., and Zhang, Q. (2002). Genetic Dissection of an Elite Rice Hybrid Revealed That Heterozygotes Are Not Always Advantageous for Performance. Genetics 162, 1885-1895.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Grains/panicle(1999)	1	1	gp1a	Hua, J.P., Xing, Y.Z., Xu, C.G., Sun, X.L., Yu, S.B., and Zhang, Q. (2002). Genetic Dissection of an Elite Rice Hybrid Revealed That Heterozygotes Are Not Always Advantageous for Performance. Genetics 162, 1885-1895.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	No. of large stem vascular bundles	1	10	qLSVB10-1	Cui, K.H., Peng, S.B., Xing, Y.Z., Yu, S.B., and Xu, C.G. (2002). Genetic analysis of the panicle traits related to yield sink size of rice. Yi Chuan Xue Bao 29, 144-152.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Number of first branches per panicle	1	8	nfb8	Lin, H.X., Qian, H.R., Zhuang, J.Y., Lu, J., Min, S.K., M.Xiong, Z., Huang, N., and Zheng, K.L. (1995). Interval mapping of QTLs for yield and other related characters in rice. Rice Genetics Newsletter 12, 251-253.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Number of grains per panicle	1	1	ng1	Lin, H.X., Qian, H.R., Zhuang, J.Y., Lu, J., Min, S.K., M.Xiong, Z., Huang, N., and Zheng, K.L. (1995). Interval mapping of QTLs for yield and other related characters in rice. Rice Genetics Newsletter 12, 251-253.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Number of large vascular bundles	1	10	qLVB10-1	Cui, K.H., Peng, S.B., Xing, Y.Z., Yu, S.B., Xu, C.G., and Zhang, Q. (2003). Molecular dissection of the genetic relationships of source, sink and transport tissue with yield traits in rice. Theor Appl Genet 106, 649-658.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Number of large vascular bundles/Area of -2nd leaf	1	6	qLVBSL6-1	Cui, K.H., Peng, S.B., Xing, Y.Z., Yu, S.B., Xu, C.G., and Zhang, Q. (2003). Molecular dissection of the genetic relationships of source, sink and transport tissue with yield traits in rice. Theor Appl Genet 106, 649-658.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Number of large vascular bundles/Area of -3rd leaf	1	6	qLVBTL6-1	Cui, K.H., Peng, S.B., Xing, Y.Z., Yu, S.B., Xu, C.G., and Zhang, Q. (2003). Molecular dissection of the genetic relationships of source, sink and transport tissue with yield traits in rice. Theor Appl Genet 106, 649-658.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Number of large vascular bundles/Area of flag leaf	1	9	qLVBFL9-1	Cui, K.H., Peng, S.B., Xing, Y.Z., Yu, S.B., Xu, C.G., and Zhang, Q. (2003). Molecular dissection of the genetic relationships of source, sink and transport tissue with yield traits in rice. Theor Appl Genet 106, 649-658.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Number of large vascular bundles/Total spikelets per panicle	1	1	qLVBTS1-1	Cui, K.H., Peng, S.B., Xing, Y.Z., Yu, S.B., Xu, C.G., and Zhang, Q. (2003). Molecular dissection of the genetic relationships of source, sink and transport tissue with yield traits in rice. Theor Appl Genet 106, 649-658.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Number of panicles per plant	1	4	np4	Lin, H.X., Qian, H.R., Zhuang, J.Y., Lu, J., Min, S.K., M.Xiong, Z., Huang, N., and Zheng, K.L. (1995). Interval mapping of QTLs for yield and other related characters in rice. Rice Genetics Newsletter 12, 251-253.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
